tweet_ids	center_id
[793909545445822465]	793909545445822465
[793909472087285760]	793909472087285760
[793909457889685504]	793909457889685504
[793909431675142144]	793909431675142144
[793909352998531073]	793909352998531073
[793909296979447808]	793909296979447808
[793909192142782465]	793909192142782465
[793909177617879040]	793909177617879040
[793909161138552833]	793909161138552833
[793909154880577536]	793909154880577536
[793909116011945984]	793909116011945984
[793909114627842052]	793909114627842052
[793909068628946944]	793909068628946944
[793909040690724864]	793909040690724864
[793908987418800128]	793908987418800128
[793908963347668992]	793908963347668992
[793908938328547328]	793908938328547328
[793908934667034624]	793908934667034624
[793908928753041408]	793908928753041408
[793908925536043008]	793908925536043008
[793908914962259972]	793908914962259972
[793908874516365312]	793908874516365312
[793908856011259904]	793908856011259904
[793908823002079233]	793908823002079233
[793908811446747137]	793908811446747137
[793908738914709504]	793908738914709504
[793908719310540800]	793908719310540800
[793908705762873346]	793908705762873346
[793908592051118080]	793908592051118080
[793908554512134150]	793908554512134150
[793908501038960642]	793908501038960642
[793908469267066880]	793908469267066880
[793908468755402753]	793908468755402753
[793908432692731904]	793908432692731904
[793908414518796288]	793908414518796288
[793908399045914624]	793908399045914624
[793908374442217472]	793908374442217472
[793908351755284480]	793908351755284480
[793908345870618624]	793908345870618624
[793908301360758785]	793908301360758785
[793908249653186560]	793908249653186560
[793908216216358912]	793908216216358912
[793908159714828288]	793908159714828288
[793908142425923584]	793908142425923584
[793908133911560196]	793908133911560196
[793908082497691649]	793908082497691649
[793908078576017408]	793908078576017408
[793908052156178433]	793908052156178433
[793908040722415617]	793908040722415617
[793908037077565440]	793908037077565440
[793908036414935040]	793908036414935040
[793908023559213056]	793908023559213056
[793908012171788288]	793908012171788288
[793907977803759616]	793907977803759616
[793907958627328001]	793907958627328001
[793907931905392641]	793907931905392641
[793907929229524992]	793907929229524992
[793907906525728768]	793907906525728768
[793907901286981632]	793907901286981632
[793907820877885444]	793907820877885444
[793907817660968960]	793907817660968960
[793907776502235138]	793907776502235138
[793907763994828800]	793907763994828800
[793907749402841092]	793907749402841092
[793907734223650816]	793907734223650816
[793907692242894848]	793907692242894848
[793907665802067973]	793907665802067973
[793907656712781824]	793907656712781824
[793907643219836928]	793907643219836928
[793907625473798144]	793907625473798144
[793907600026923009]	793907600026923009
[793907592070361090]	793907592070361090
[793907569559560192]	793907569559560192
[793907537561133057]	793907537561133057
[793907528832868357]	793907528832868357
[793907505768329216]	793907505768329216
[793907501859213312]	793907501859213312
[793907494850596864]	793907494850596864
[793907474701115394]	793907474701115394
[793907431793430532]	793907431793430532
[793907418216468481]	793907418216468481
[793907411505418241]	793907411505418241
[793907400097067009]	793907400097067009
[793907299903471616]	793907299903471616
[793907285047246848]	793907285047246848
[793907258484604928]	793907258484604928
[793907245180293120]	793907245180293120
[793907221977526272]	793907221977526272
[793907212351508480]	793907212351508480
[793907172010754048]	793907172010754048
[793907161868951552]	793907161868951552
[793907143581761537]	793907143581761537
[793907134341734401]	793907134341734401
[793907123386286080]	793907123386286080
[793907107712012288]	793907107712012288
[793907103509405700]	793907103509405700
[793907089240367104]	793907089240367104
[793907084555411456]	793907084555411456
[793907048719286272]	793907048719286272
[793907040460627968]	793907040460627968
[793906995145342976]	793906995145342976
[793906967706234880]	793906967706234880
[793906959007289345]	793906959007289345
[793906957463613440]	793906957463613440
[793906917001297921]	793906917001297921
[793906910219079680]	793906910219079680
[793909070495219712, 793908677946314752]	793909070495219712
[793908601354158080, 793908209098653697]	793908601354158080
[793908377961259008, 793907830856118272]	793908377961259008
[793908873132437505, 793907189245177856]	793908873132437505
[793907594620534784, 793907480040448000]	793907594620534784
[793907170966396928, 793907047746207745]	793907170966396928
[793909425522155521, 793908880954822657]	793909425522155521
[793909402420015104, 793908416557223936]	793909402420015104
[793908176252985344, 793907783624167425]	793908176252985344
[793909295939215360, 793907723314327552, 793907566917120004, 793907276553781248]	793909295939215360
[793908150403334144, 793907934250016770, 793907404438138880, 793907323987173376]	793908150403334144
[793909088719601664, 793907446569955328, 793907413900488705, 793906896377872384]	793909088719601664
[793909518837149696, 793909357608132609, 793908907936772097, 793907859390078982]	793909518837149696
[793909491570008064, 793908999745839109, 793908962131316736, 793908955357609984, 793908639736041472, 793908518558396416, 793908480402784256, 793908463491481600]	793909491570008064
[793908105373417473, 793906922902589440]	793906922902589440
[793908043180367872, 793909319519571968, 793909304759902208, 793909250691063810, 793908939146555392]	793908043180367872
[793907784538583040, 793907038413807617]	793907038413807617
[793909024685223941, 793908102508711936]	793908102508711936
[793908993571721216, 793908467186733057]	793908467186733057
[793907268295204868, 793907465662455808, 793908621780353024, 793907891111624704]	793907465662455808
[793908584484458496, 793908047815073793]	793908047815073793
[793909457986215936, 793908895425105920]	793909457986215936
[793909558754349056, 793909440806195200]	793909440806195200
[793907149063749633, 793909335432761344, 793909143912472576]	793909335432761344
[793908044031754240, 793907005022957570]	793907005022957570
[793907729152765952, 793909199981928450, 793908515450523648, 793908407199727616, 793908313616449536]	793909199981928450
[793909465225564160, 793909010000928773]	793909465225564160
[793909097179602945, 793907138271805440, 793909549753401344, 793908062566412288, 793907908744515585, 793907906240471040]	793907138271805440
